;;;Lambda;Tmix;;;;;;;;;;;;;;;;;;
;;;0.2;219840;;;;0.2;178430;;0.2;;;Lambda;;;;;;;;
;;;0.3;224279;;;;0.2;169248;;0.2;;;0,2;176184,3333;;;;;;;
;;;0.4;277668;;;;0.2;180875;;0.2;;;0,3;236258;;;3.7;563884264;;3,7;545875362,7
;;;0.5;274271;;;;0.3;285234;;0.3;;;0,4;267201,3333;;;3.7;624055421;;3,71;586779903
;;;0.6;438941;;;;0.3;197186;;0.3;;;0,5;338618;;;3.7;449686403;;3,72;1000949748
;;;0.7;467727;;;;0.3;226354;;0.3;;;0,6;403113,6667;;;3.71;686597885;;3,73;413829808,3
;;;0.8;394094;;;;0.4;324189;;0.4;;;0,7;449878,3333;;;3.71;393042314;;3,74;366727135,3
;;;0.9;602198;;;;0.4;240856;;0.4;;;0,8;567877;;;3.71;680699510;;3,75;1198459736
;;;1;787715;;;;0.4;236559;;0.4;;;0,9;740240,3333;;;3.72;855365595;;;
;;;1.1;859570;;;;0.5;319448;;0.5;;;1;877380,3333;;;3.72;1073741824;;;
;;;1.2;1411570;;;;0.5;319258;;0.5;;;1,1;818741,3333;;;3.72;1073741824;;;
;;;1.3;1636824;;;;0.5;377148;;0.5;;;1,2;1567067,667;;;3.73;167747601;;;
;;;1.4;1961160;;;;0.6;377643;;0.6;;;1,3;1254597,667;;;3.73;756099202;;;
;;;1.5;2364720;;;;0.6;406286;;0.6;;;1,4;1611563;;;3.73;317642622;;;
;;;1.6;2140334;;;;0.6;425412;;0.6;;;1,5;1885647;;;3.74;397072026;;;
;;;1.7;2276111;;;;0.7;464555;;0.7;;;1,6;1988975,333;;;3.74;473775519;;;
;;;1.8;3220050;;;;0.7;390048;;0.7;;;1,7;2545890,333;;;3.74;229333861;;;
;;;1.9;3906507;;;;0.7;495032;;0.7;;;1,8;3266113;;;3.75;1447895560;;;
;;;2;3264634;;;;0.8;714299;;0.8;;;1,9;3697135;;;3.75;1073741824;;;
;;;2.1;5499074;;;;0.8;452037;;0.8;;;2;4416381,667;;;3.75;1073741824;;;
;;;2.2;4194684;;;;0.8;537295;;0.8;;;2,1;4205922;;;;;;;
;;;2.3;6781233;;;;0.9;834422;;0.9;;;2,2;5875180;;;;;;;
;;;2.4;6988081;;;;0.9;593646;;0.9;;;2,3;6636505;;;;;;;
;;;2.5;13496901;;;;0.9;792653;;0.9;;;2,4;7107092,333;;;;;;;
;;;2.6;10156990;;;;1;926210;;1;;;2,5;12222136,33;;;;;;;
;;;2.7;15810672;;;;1;887556;;1;;;2,6;11916199,67;;;;;;;
;;;2.8;21640126;;;;1;818375;;1;;;2,7;18150704,67;;;;;;;
;;;2.9;23257036;;;;1.1;964780;;1.1;;;2,8;16882699,33;;;;;;;
;;;3;34612503;;;;1.1;810590;;1.1;;;2,9;21777491;;;;;;;
;;;3.1;85141005;;;;1.1;680854;;1.1;;;3;27478975;;;;;;;
;;;3.2;61446246;;;;1.2;1536565;;1.2;;;3,1;44400951,67;;;;;;;
;;;3.3;90724140;;;;1.2;2124713;;1.2;;;3,2;65451896,67;;;;;;;
;;;3.4;109764438;;;;1.2;1039925;;1.2;;;3,3;66200899;;;;;;;
;;;3.5;157385975;;;;1.3;1371477;;1.3;;;3,4;136772450;;;;;;;
;;;3.6;149035961;;;;1.3;1112806;;1.3;;;3,5;158405139;;;;;;;
;;;3.7;597333717;;;;1.3;1279510;;1.3;;;3,6;179574171,7;;;;;;;
;;;;;;;3;1.4;1076793;;1.4;;;3,7;785043603,7;;;;;;;
;;;;;;;3,05;1.4;2321608;;1.4;;;;;;;;;;;
0.2;487178;;;;;;3,1;1.4;1436288;;1.4;;;;;;;;;;;
0.21;551187;;;;;;;1.5;1620137;;1.5;;;;;;;;;;;
0.22;418404;;;;;;;1.5;1995423;;1.5;;;;;;;;;;;
0.23;556614;;;;;;;1.5;2041381;;1.5;;;;;;;;;;;
0.24;377263;;;;;;;1.6;1936427;;1.6;;;;;;;;;;;
0.25;427944;;;;;;;1.6;1904893;;1.6;;;;;;;;;;;
0.26;758359;;;;;;;1.6;2125606;;1.6;;;;;;;;;;;
0.27;464435;;;;;;;1.7;2276988;;1.7;;;;;;;;;;;
0.28;490605;;;;;;;1.7;2938152;;1.7;;;;;;;;;;;
0.29;945813;;;;;;;1.7;2422531;;1.7;;;;;;;;;;;
0.3;599168;;;;;;;1.8;3221651;;1.8;;;;;;;;;;;
0.31;503900;;;;;;;1.8;4083643;;1.8;;;;;;;;;;;
0.32;686153;;;;;;;1.8;2493045;;1.8;;;;;;;;;;;
0.33;709783;;;;;;;1.9;3826343;;1.9;;;;;;;;;;;
0.34;592616;;;;;;;1.9;3263487;;1.9;;;;;;;;;;;
0.35;486274;;;;;;;1.9;4001575;;1.9;;;;;;;;;;;
0.36;653400;;;;;;;2;4719809;;2;;;;;;;;;;;
0.37;604792;;;;;;;2;4830633;;2;;;;;;;;;;;
0.38;672478;;;;;;;2;3698703;;2;;;;;;;;;;;
0.39;626860;;;;;;;2.1;4592444;;2.1;;;;;;;;;;;
0.4;893961;;;;;;;2.1;4229031;;2.1;;;;;;;;;;;
0.41;728420;;;;;;;2.1;3796291;;2.1;;;;;;;;;;;
0.2;178430;;;;;;;2.2;5216417;;2.2;;;;;;;;;;;
0.2;169248;;;;;;;2.2;7496775;;2.2;;;;;;;;;;;
0.2;180875;;;;;;;2.2;4912348;;2.2;;;;;;;;;;;
0.3;285234;;;;;;;2.3;7023944;;2.3;;;;;;;;;;;
0.3;197186;;;;;;;2.3;5408638;;2.3;;;;;;;;;;;
0.3;226354;;;;;;;2.3;7476933;;2.3;;;;;;;;;;;
0.4;324189;;;;;;;2.4;5217406;;2.4;;;;;;;;;;;
0.4;240856;;;;;;;2.4;9596782;;2.4;;;;;;;;;;;
0.4;236559;;;;;;;2.4;6507089;;2.4;;;;;;;;;;;
0.5;319448;;;;;;;2.5;12401736;;2.5;;;;;;;;;;;
0.5;319258;;;;;;;2.5;11766011;;2.5;;;;;;;;;;;
0.5;377148;;;;;;;2.5;12498662;;2.5;;;;;;;;;;;
0.6;377643;;;;;;;2.6;11769146;;2.6;;;;;;;;;;;
0.6;406286;;;;;;;2.6;9621261;;2.6;;;;;;;;;;;
0.6;425412;;;;;;;2.6;14358192;;2.6;;;;;;;;;;;
0.7;464555;;;;;;;2.7;24504225;;2.7;;;;;;;;;;;
0.7;390048;;;;;;;2.7;14580701;;2.7;;;;;;;;;;;
0.7;495032;;;;;;;2.7;15367188;;2.7;;;;;;;;;;;
0.8;714299;;;;;;;2.8;17941603;;2.8;;;;;;;;;;;
0.8;452037;;;;;;;2.8;17198078;;2.8;;;;;;;;;;;
0.8;537295;;;;;;;2.8;15508417;;2.8;;;;;;;;;;;
0.9;834422;;;;;;;2.9;15020312;;2.9;;;;;;;;;;;
0.9;593646;;;;;;;2.9;29233929;;2.9;;;;;;;;;;;
0.9;792653;;;;;;;2.9;21078232;;2.9;;;;;;;;;;;
1;926210;;;;;;;3;26919219;;3;;;;;;;;;;;
1;887556;;;;;;;3;26978024;;3;;;;;;;;;;;
1;818375;;;;;;;3;28539682;;3;;;;;;;;;;;
1.1;964780;;;;;;;3.1;31922179;;3.1;;;;;;;;;;;
1.1;810590;;;;;;;3.1;44511138;;3.1;;;;;;;;;;;
1.1;680854;;;;;;;3.1;56769538;;3.1;;;;;;;;;;;
1.2;1536565;;;;;;;3.2;44070823;;3.2;;;;;;;;;;;
1.2;2124713;;;;;;;3.2;95070900;;3.2;;;;;;;;;;;
1.2;1039925;;;;;;;3.2;57213967;;3.2;;;;;;;;;;;
1.3;1371477;;;;;;;3.3;98984487;;3.3;;;;;;;;;;;
1.3;1112806;;;;;;;3.3;38435906;;3.3;;;;;;;;;;;
1.3;1279510;;;;;;;3.3;61182304;;3.3;;;;;;;;;;;
1.4;1076793;;;;;;;3.4;106978739;;3.4;;;;;;;;;;;
1.4;2321608;;;;;;;3.4;204461080;;3.4;;;;;;;;;;;
1.4;1436288;;;;;;;3.4;98877531;;3.4;;;;;;;;;;;
1.5;1620137;;;;;;;3.5;239641794;;3.5;;;;;;;;;;;
1.5;1995423;;;;;;;3.5;95135579;;3.5;;;;;;;;;;;
1.5;2041381;;;;;;;3.5;140438044;;3.5;;;;;;;;;;;
1.6;1936427;;;;;;;3.6;149035961;;3.6;;;;;;;;;;;
1.6;1904893;;;;;;;3.6;259007544;;3.6;;;;;;;;;;;
1.6;2125606;;;;;;;3.6;130679010;;3.6;;;;;;;;;;;
1.7;2276988;;;;;;;3.7;207647163;;3.7;;;;;;;;;;;
1.7;2938152;;;;;;;3.7;1073741824;;3.7;;;;;;;;;;;
1.7;2422531;;;;;;;3.7;1073741824;;3.7;;;;;;;;;;;
1.8;3221651;;;;;;;;;;;;;;;;;;;;;
1.8;4083643;;;;;;;;;;;;;;;;;;;;;
1.8;2493045;;;;;;;;;;;;;;;;;;;;;
1.9;3826343;;;;;;;;;;;;;;;;;;;;;
1.9;3263487;;;;;;;;;;;;;;;;;;;;;
1.9;4001575;;;;;;;;;;;;;;;;;;;;;
2;4719809;;;;;;;;;;;;;;;;;;;;;
2;4830633;;;;;;;;;;;;;;;;;;;;;
2;3698703;;;;;;;;;;;;;;;;;;;;;
2.1;4592444;;;;;;;;;;;;;;;;;;;;;
2.1;4229031;;;;;;;;;;;;;;;;;;;;;
2.1;3796291;;;;;;;;;;;;;;;;;;;;;
2.2;5216417;;;;;;;;;;;;;;;;;;;;;
2.2;7496775;;;;;;;;;;;;;;;;;;;;;
2.2;4912348;;;;;;;;;;;;;;;;;;;;;
2.3;7023944;;;;;;;;;;;;;;;;;;;;;
2.3;5408638;;;;;;;;;;;;;;;;;;;;;
2.3;7476933;;;;;;;;;;;;;;;;;;;;;
2.4;5217406;;;;;;;;;;;;;;;;;;;;;
2.4;9596782;;;;;;;;;;;;;;;;;;;;;
2.4;6507089;;;;;;;;;;;;;;;;;;;;;
2.5;12401736;;;;;;;;;;;;;;;;;;;;;
2.5;11766011;;;;;;;;;;;;;;;;;;;;;
2.5;12498662;;;;;;;;;;;;;;;;;;;;;
2.6;11769146;;;;;;;;;;;;;;;;;;;;;
2.6;9621261;;;;;;;;;;;;;;;;;;;;;
2.6;14358192;;;;;;;;;;;;;;;;;;;;;
2.7;24504225;;;;;;;;;;;;;;;;;;;;;
2.7;14580701;;;;;;;;;;;;;;;;;;;;;
2.7;15367188;;;;;;;;;;;;;;;;;;;;;
2.8;17941603;;;;;;;;;;;;;;;;;;;;;
2.8;17198078;;;;;;;;;;;;;;;;;;;;;
2.8;15508417;;;;;;;;;;;;;;;;;;;;;
2.9;15020312;;;;;;;;;;;;;;;;;;;;;
2.9;29233929;;;;;;;;;;;;;;;;;;;;;
2.9;21078232;;;;;;;;;;;;;;;;;;;;;
3;26919219;;;;;;;;;;;;;;;;;;;;;
3;26978024;;;;;;;;;;;;;;;;;;;;;
3;28539682;;;;;;;;;;;;;;;;;;;;;
3.1;31922179;;;;;;;;;;;;;;;;;;;;;
3.1;44511138;;;;;;;;;;;;;;;;;;;;;
3.1;56769538;;;;;;;;;;;;;;;;;;;;;
3.2;44070823;;;;;;;;;;;;;;;;;;;;;
3.2;95070900;;;;;;;;;;;;;;;;;;;;;
3.2;57213967;;;;;;;;;;;;;;;;;;;;;
3.3;98984487;;;;;;;;;;;;;;;;;;;;;
3.3;38435906;;;;;;;;;;;;;;;;;;;;;
3.3;61182304;;;;;;;;;;;;;;;;;;;;;
3.4;106978739;;;;;;;;;;;;;;;;;;;;;
3.4;204461080;;;;;;;;;;;;;;;;;;;;;
3.4;98877531;;;;;;;;;;;;;;;;;;;;;
3.5;239641794;;;;;;;;;;;;;;;;;;;;;
3.5;95135579;;;;;;;;;;;;;;;;;;;;;
3.5;140438044;;;;;;;;;;;;;;;;;;;;;
3.6;149035961;;;;;;;;;;;;;;;;;;;;;
3.6;259007544;;;;;;;;;;;;;;;;;;;;;
3.6;130679010;;;;;;;;;;;;;;;;;;;;;
3.7;207647163;;;;;;;;;;;;;;;;;;;;;
3.7;1073741824;;;;;;;;;;;;;;;;;;;;;
3.7;1073741824;;;;;;;;;;;;;;;;;;;;;
Break;;;;;;;;;;;;;;;;;;;;;;
0.2;30173117;;;;;;;;;;;;;;;;;;;;;
0.2;38683852;;;;;;;;;;;;;;;;;;;;;
0.2;35879748;;;;;;;;;;;;;;;;;;;;;
0.2;25981158;;;;;;;;;;;;;;;;;;;;;
0.2;54354875;;;;;;;;;;;;;;;;;;;;;
0.25;26306481;;;;;;;;;;;;;;;;;;;;;
0.25;32570881;;;;;;;;;;;;;;;;;;;;;
0.25;25211815;;;;;;;;;;;;;;;;;;;;;
0.25;36965893;;;;;;;;;;;;;;;;;;;;;
0.25;49796432;;;;;;;;;;;;;;;;;;;;;
0.3;53751554;;;;;;;;;;;;;;;;;;;;;
0.3;34703510;;;;;;;;;;;;;;;;;;;;;
0.3;88518823;;;;;;;;;;;;;;;;;;;;;
0.3;30904601;;;;;;;;;;;;;;;;;;;;;
0.3;66552917;;;;;;;;;;;;;;;;;;;;;
0.35;75382107;;;;;;;;;;;;;;;;;;;;;
0.35;48562210;;;;;;;;;;;;;;;;;;;;;
0.35;48859548;;;;;;;;;;;;;;;;;;;;;
0.35;37173920;;;;;;;;;;;;;;;;;;;;;
0.35;28970099;;;;;;;;;;;;;;;;;;;;;
0.4;48717557;;;;;;;;;;;;;;;;;;;;;
0.4;102697909;;;;;;;;;;;;;;;;;;;;;
ew ;;;;;;;;;;;;;;;;;;;;;;
3.7;563884264;;;;;;;;;;;;;;;;;;;;;
3.7;624055421;;;;;;;;;;;;;;;;;;;;;
3.7;449686403;;;;;;;;;;;;;;;;;;;;;
3.71;686597885;;;;;;;;;;;;;;;;;;;;;
3.71;393042314;;;;;;;;;;;;;;;;;;;;;
3.71;680699510;;;;;;;;;;;;;;;;;;;;;
3.72;855365595;;;;;;;;;;;;;;;;;;;;;
3.72;1073741824;;;;;;;;;;;;;;;;;;;;;
3.72;1073741824;;;;;;;;;;;;;;;;;;;;;
3.73;167747601;;;;;;;;;;;;;;;;;;;;;
3.73;756099202;;;;;;;;;;;;;;;;;;;;;
3.73;317642622;;;;;;;;;;;;;;;;;;;;;
3.74;397072026;;;;;;;;;;;;;;;;;;;;;
3.74;473775519;;;;;;;;;;;;;;;;;;;;;
3.74;229333861;;;;;;;;;;;;;;;;;;;;;
3.75;1447895560;;;;;;;;;;;;;;;;;;;;;
3.75;1073741824;;;;;;;;;;;;;;;;;;;;;
3.75;1073741824;;;;;;;;;;;;;;;;;;;;;
Break 2;;;;;;;;;;;;;;;;;;;;;;
3.7;-29798785
